Name,Ticker,Sector,Description
U A C N PLC.,UACN,CONGLOMERATES,"UAC of Nigeria Plc is a Nigeria-based company operating in foods and beverage, real estate, paints and logistics sectors. The Company's segments include Food and Beverage, which is engaged in the manufacturing and sales of food items, livestock feeds, bottled water, fruit juices, ice-cream and quick service restaurants; Paints, which is engaged in the manufacturing and sales of paints products and other decoratives; Logistics, which is engaged in rendering logistics and supply chain services; Real Estate, which is engaged in real estate development and management, and Others, which is engaged in pension fund administration services and the corporate head office. The Company's brand portfolio consists of brands, such as Gala Sausage Roll, Mr Bigg's, Funtime Coconut Chips, Supreme Ice cream, Delite Fruit Juice, Swan Natural Spring Water, Gossy Warm Spring Water, Dulux, Grand Soya Oil and Grand Groundnut Oil, Vital Feeds, Livestock Feeds and Sandtex."
UNILEVER NIGERIA PLC. [CG+],UNILEVE,CONSUMER GOODS,"Unilever Nigeria Plc. is engaged in the manufacture and marketing of foods and food ingredients, and home and personal care products. The Company's segments are Food Products, Home Care and Personal Care products. Its Foods Products segment includes sale of tea, savory and spreads. The Company's Home Care segment includes sale of fabric care, household cleaning and water purification products. The international brands include Close-Up toothpaste, Pepsodent toothpaste, LUX beauty soap, Lifebuoy soap, Rexona, Vaseline lotion and Vaseline Petroleum Jelly in the Personal Care Unit of the business; Blue Band Margarine, Lipton Yellow Label Tea and Knorr bouillon cubes in the Foods Unit; and OMO Multi-Active Detergent, Sunlight washing powder and Sunlight Dish washing liquid in the Home Care Unit. Other Regional and local jewels include the Pears Baby Products range and Royco bouillon cubes. The Company has manufacturing sites in Oregun, Lagos State and Agbara, Ogun State."
UNION BANK NIG.PLC. [BLS],UBN,FINANCIAL SERVICES,"Union Bank of Nigeria Plc (the Bank) is engaged in the provision of banking and related financial services to corporate and individual customers. The Bank's services include the granting of loans and advances, acceptance of deposits and money market activities. It has four segments: retail banking, corporate banking, treasury and investment banking, and asset management. Its retail banking segment offers private banking services, private customer current accounts, deposits, investment savings products, custody, credit and debit cards, consumer loans and mortgages. Its corporate banking segment offers direct debit facilities, current accounts, deposits, overdrafts, loan and other credit facilities, and foreign currency products. Its treasury and investment banking segment offers financial instruments trading, structured financing, corporate leasing and advisory service. Its asset management segment provides financial intermediation services and equipment leasing, among others."
UNION DICON SALT PLC. [BRS],UNIONDI,CONSUMER GOODS,Union Dicon Salt Plc is a Nigeria-based company engaged in the processing of crude salt. The Company is involved in the sales of packaged water in sachets and plastic bottles. Witt & Busch Limited is the subsidiary of the Company.
UNION HOMES REAL ESTATE INVESTMENT TRUST (REIT),UHOMREIT,CONSTRUCTION/REAL ESTATE,"Union Homes REIT PLC engages in the business of real estate. It managers a variety of residential and commercial properties in Lagos and Abuja. The company was founded in February 2009 and is headquartered in Lagos, Nigeria."
UNION HOMES SAVINGS AND LOANS PLC. [MRS],UNHOMES,FINANCIAL SERVICES,"Union Homes Savings and Loans Plc is a primary mortgage institution (PMI) in Nigeria. The Company operates through two segments: Mortgage banking and Estate Management. The Mortgage Banking Division provides mortgage, real estate and overdraft products and services to corporate organizations and individuals. The Mortgage Banking Division is also involved in deposit mobilization. The Estate Management Division has operation in a number of cities in Nigeria. The Estate Management Division provides facilitates for the construction and disposal of properties, and also oversees the collection of its rental income. The Company has 50% interest in Saffer Union West Africa Limited, a jointly controlled entity. It also has an associate, Union Homes Real Estate Investment Trust Scheme (REITS). Its parent company is Union Bank Plc."
UNITED BANK FOR AFRICA PLC [CG+],UBA,FINANCIAL SERVICES,"United Bank for Africa Plc is engaged in corporate, commercial and retail banking, trade services, cash management, treasury and custodial services. The Company's business segments are Corporate Banking; Retail/Commercial banking, and Treasury and Financial Markets. The Corporate Banking segment provides a range of financial solutions to multinationals, regional companies, state-owned companies, non-governmental organizations, international and multinational organizations and financial institutions. The Retail/ Commercial banking segment provide commercial banking products and services to the middle and retail segments of the market. The Treasury and Financial Markets segment provides financing and risk management solutions and advisory services to the Company's corporate and institutional customers. This segment is also responsible for formulation and implementation of financial market products for its customers."
UNITED CAPITAL PLC [CG+],UCAP,FINANCIAL SERVICES,"United Capital Plc is a Nigeria-based financial and investment services company. The Company's principal activities include provision of investment banking services, portfolio management services, securities trading and trusteeship. The Company is engaged in the business of investment banking and provides issuing house, corporate investment advisory services, project finance, debt restructuring, mergers and acquisitions, and capital markets activities. Through its subsidiaries and associate company, it provides additional services such as trusteeship, asset management, securities trading and insurance. The Company's investment business provides advisory services, including project finance, capital markets, mergers and acquisitions and structured finance. The asset management business provides investment services to corporate, institutions, Government agencies, high net worth individuals and retail investors. The trusteeship business provides trust services."
UNITY BANK PLC,UNITYBN,FINANCIAL SERVICES,"Unity Bank Plc is a retail bank, which provides banking and other financial services to corporate and individual customers. The Bank's service offerings include granting of loans and advances, corporate banking, retail banking, consumer and trade finance, international banking, cash management, electronic banking services and money market activities. It operates through three geographical segments: North, Central and South Zones. The Bank's products include e-business products, including debit card products and prepaid card products; corporate and commercial banking, including corporate banking, fixed deposit account, inventory financing, current accounts and overdraft, and institutional banking, including treasury products, such as treasury bills/bonds, fixed income products, savings/current account and bankers acceptance/guaranteed commercial papers. The Bank operates approximately 240 business offices located in over 40 states and Federal Capital Territory."
UNIVERSAL INSURANCE PLC,UNIVINS,FINANCIAL SERVICES,"Universal Insurance Plc. is a Nigeria-based insurance and financial services company. The Company serves commercial, institutional and individual customers through a general insurance network, also providing financial services and risk management services nation-wide. The Company’s general insurance services include motor, general accident, fire, engineering, bonds, guarantees and indemnities, and marine. The Company’s investment advisory services include hospitality, construction, logistics, capital markets and real estate. The Company provides financial coverage in the event of accident, theft, vandalism or collision involving a motor vehicle. The Company covers all vehicles, ranging from cars to converted buses and trailers. The Company is a provider of commercial real estate financial, investment and advisory services to institutional, corporate, non-profit and private investor clients."
UNIVERSITY PRESS PLC.,UPL,SERVICES,"University Press Plc is a publisher of materials for educational and for general reading. The Company's segments include Western Zone, Eastern Zone, Northern Zone and Export. It is engaged in the business of printing, publishing and selling of books in areas of educational and general titles. It develops products for the pre-primary, primary, secondary, teacher training, tertiary and general readership categories. Its pre-primary school books include English Language skills, Health and Science, and Know Your Aptitude; primary school books include Basic English, and Basic Science and Technology; junior secondary books include Civic Education, Christian Religious Studies and Home Economics, and senior secondary school books include Clothing and Textiles, Computer Studies, Foods and Nutrition, Islamic Studies, Man Mathematics and New Oxford. It also offers general reading and research books, such as biographies, dictionaries, encyclopedia, language and literature, and literary writings."
UPDC PLC [BLS],UPDC,CONSTRUCTION/REAL ESTATE,"UPDC Plc, formerly UACN Property Development Company Plc, is a Nigeria-based real estate company engaged in developing, selling, and managing real estate assets. It provides residential & commercial property development, as well as facility management services. The Company’s business segment includes property development, sales & management that offers acquisition, development, sales and management of commercial and residential properties in the luxury, premium and classic segments."
UPDC REAL ESTATE INVESTMENT TRUST,UPDCREIT,CONSTRUCTION/REAL ESTATE,"UPDC Real Estate Investment Trust is a Nigeria-based close-ended real estate investment trust. The Company is engaged in property development and management, focusing on the provision of residential apartments and housing estates, as well as commercial buildings. The Company’s investment objective is to provide unit holders with cash distributions from investments in a diversified portfolio of real estate properties and to improve unit value through the ongoing management of the Company’s assets, acquisitions and the development of additional real properties. The Company’s investment properties include Abebe Court, Victoria Mall Plaza Phase 1, Victoria Mall Plaza Phase 2, UAC Commercial Complex and 1-2 Factory Road Aba. The Company is managed by FSDH Asset Management Limited."
VERITAS KAPITAL ASSURANCE PLC,VERITASKAP,FINANCIAL SERVICES,"Veritas Kapital Assurance PLC, formerly Unity Kapital Assurance PLC, is a Nigeria-based insurance company. The Company non-life Insurance products and services to individuals and institutions across Nigeria. It offers various types of policy, including personal accident, householder, motor insurance, fire insurance and business interruption. It offers various type of motor insurance, including private motor, commercial, truck, tricycle, fuel tanker and fire service truck. Its corporate products include marine, engineering, aviation, oil & gas, agriculture and group accident. The Company's subsidiaries include Veritas Pensions Limited and Health Care Security Limited."
VITAFOAM NIG PLC.,VITAFOA,CONSUMER GOODS,"Vitafoam Nigeria Plc, through its subsidiaries, engages in the manufacture, marketing, and distribution of flexible/rigid foam and fiber-based products and textile linens in Nigeria and West African countries. The company offers inner core spring and orthopedic mattresses, pillows, cushions, duvets, rigid foams, and visco-elastic foam and latex products. In addition, it offers furniture products for offices, bedrooms, and lounges in homes, public and hospitals; and manufactures shoe wear, insulation products, and motor vehicle oil filters, as well as engages in fiber processing and soft furnishing business. The company serves offices, homes, institutions, hotels, oil and gas, automobile, and agricultural sectors. Vitafoam Nigeria Plc was incorporated in 1962 and is based in Lagos, Nigeria."
WEMA BANK PLC. [CG+],WEMABAN,FINANCIAL SERVICES,"Wema Bank Plc is a bank that offers a range of retail, small and medium-sized enterprises (SME) banking, corporate banking, treasury, trade services and financial advisory to its customers. The Bank operates a network of approximately 135 branches and cash centers by an information and communications technology (ICT) platform across Nigeria. The Bank operates through four geographical segments, which are Bank's strategic zones, such as South-west, South-south, Abuja and Lagos. The South-west segment has approximately 69 branches. The South-south segment has approximately 12 branches. The Abuja segment has approximately eight branches. The Lagos segment has over 47 branches. The Bank also has approximately two automatic teller machine (ATM) Plus locations."
ZENITH BANK PLC [CG+],ZENITHB,FINANCIAL SERVICES,"Zenith Bank Plc (The Bank) is a Nigeria-based company, which is engaged in the provision of banking and other financial services to corporate and individual customers. The Bank's segments include Corporate, Retail Banking and Pension Custodial services-Nigeria, which provides a range of banking and pension custodial services to a range of corporations, financial institutions, investment funds, governments and individuals, and Outside Nigeria Banking-Africa and Europe, which provide a range of banking services to a group of corporations, financial institutions, investment funds, governments and individuals outside Nigeria. The segments cover banking operations in other parts of Africa (Ghana, Sierra Leone and The Gambia) and Europe (the United Kingdom). The Bank's operations are primarily organized on the basis of its geographic areas, which are Nigeria, Rest of Africa and Europe. Its subsidiaries include Zenith Bank (Ghana) Limited and Zenith Bank (Sierra Leone) Limited."
